property,confound_r2,residual_r2,raw_r2,source_notebook,source_cells
molWt,0.9042672964200856,0.59180810067583,0.9480478640995793,ProbeVAE/latent-analisys.ipynb,"15,23"
HeavyAtomCount,0.9705022617468999,0.6553951407233229,0.9749581813812256,ProbeVAE/latent-analisys.ipynb,"15,23"
cLogP,0.36122120205271313,0.686126284697936,0.7967260122818494,ProbeVAE/latent-analisys.ipynb,"15,23"
TPSA,0.37858713098203856,0.6862691294514308,0.8058510788860245,ProbeVAE/latent-analisys.ipynb,"15,23"
HBD,0.06040601477741714,0.46243636998723425,0.49972158670425415,ProbeVAE/latent-analisys.ipynb,"15,23"
HBA,0.3804764664378044,0.6758786566651012,0.8007615804672241,ProbeVAE/latent-analisys.ipynb,"15,23"
NumRotatableBonds,0.4111959110638862,0.47524195763781907,0.691433846950531,ProbeVAE/latent-analisys.ipynb,"15,23"
RingCount,0.7498341090193841,0.7943606462659446,0.9377865195274353,ProbeVAE/latent-analisys.ipynb,"15,23"
AromaticRingCount,0.5466626679296648,0.755854956770702,0.8937419652938843,ProbeVAE/latent-analisys.ipynb,"15,23"
FractionCSP3,0.3110634464565939,0.83132649153982,0.8950899175181329,ProbeVAE/latent-analisys.ipynb,"15,23"
NumSpiroAtoms,0.017563122333215997,0.07284519941352818,0.08778291940689087,ProbeVAE/latent-analisys.ipynb,"15,23"
NumBridgeheadAtoms,0.03671723746829314,0.12069579247491746,0.15224170684814453,ProbeVAE/latent-analisys.ipynb,"15,23"
BertzCT,0.8613517575899474,0.7009261259743444,0.9511926947561937,ProbeVAE/latent-analisys.ipynb,"15,23"
QED,0.14789750894836484,0.39073482170778373,0.4624198734083117,ProbeVAE/latent-analisys.ipynb,"15,23"
