property,r2_val,r2_test
MolWt,0.9132011480922709,0.914017562722047
ExactMolWt,0.913778615449352,0.914616330100648
HeavyAtomCount,0.9562267232897533,0.9561041780774607
cLogP,0.6683077701261342,0.6670842582833124
TPSA,0.6549841327283502,0.6563364685059163
HBD,0.21457511580436517,0.21960973352418311
HBA,0.7059140068057679,0.7082849003664808
NumRotatableBonds,0.47391962980842284,0.47291784529702885
RingCount,0.8555871952866423,0.8542947414247715
AromaticRingCount,0.8419115656794873,0.8426443415856546
FractionCSP3,0.7797383606031141,0.783234552614927
NumSpiroAtoms,0.04842768988673285,0.0483935573116242
NumBridgeheadAtoms,0.07188248203058523,0.07537787115589467
BertzCT,0.9282245422351753,0.9274957865566048
QED,0.36779181222845736,0.3677470384919257
