property,raw_r2,confound_r2,residual_r2
MolWt,0.9174370578005896,0.9036599709940171,0.3109033825287295
ExactMolWt,0.9180591811220684,0.9050000429549983,0.30802578892372245
HeavyAtomCount,0.9621907743798879,0.9704927733242134,0.3811282817044467
cLogP,0.6829507261427281,0.36217499453496893,0.5770015306787746
TPSA,0.6994230843222606,0.38225460773514364,0.523346180183702
HBD,0.25892882725270217,0.058796352716531386,0.22020484557305586
HBA,0.7587462542005585,0.4118806834353974,0.5404324725382503
NumRotatableBonds,0.484397890803168,0.40888955026980167,0.19917582030661418
RingCount,0.8491078587277392,0.7490136615649674,0.5151267485162552
AromaticRingCount,0.8497659504083127,0.5435768618244989,0.6518494260643253
FractionCSP3,0.7842379542376787,0.3086335784805062,0.7098373115353179
NumSpiroAtoms,0.050919271695969326,0.0178683552826151,0.03535313644394822
NumBridgeheadAtoms,0.07667055080454488,0.03284190337726911,0.0442627829984652
BertzCT,0.9304757356975316,0.8540279079976976,0.5626590022092349
QED,0.3464888886876648,0.14695504523027791,0.28073545892877494
