target_type,target,selfies_len_tokens,ring_token_count,branch_token_count,token_entropy,max_abs_confound_cos
raw,MolWt,0.6108015456764718,0.21975990798353964,-0.2743351980821846,-0.20485775935981346,0.6108015456764718
raw,ExactMolWt,0.6134392514709543,0.2200598963848154,-0.27377833341269786,-0.2085623971053039,0.6134392514709543
raw,HeavyAtomCount,0.7741004579173709,0.2668379765134049,-0.3016477572288034,-0.46789794152409014,0.7741004579173709
raw,cLogP,0.2000816354646601,0.1547546485803966,-0.3744824939527468,-0.3101113035615991,0.3744824939527468
raw,TPSA,0.14623243536801972,-0.17772011514988068,0.18557754366087023,-0.0309315545230603,0.18557754366087023
raw,HBD,0.12224428330098859,-0.2971147494112878,0.07444652697660828,-0.2074586108461693,0.2971147494112878
raw,HBA,0.24766121408272862,-0.0579154362068063,0.12865585537408442,-0.0978471681654331,0.24766121408272862
raw,NumRotatableBonds,0.3443257785846596,0.029092414848367085,-0.2998257087472143,-0.4982267292107481,0.4982267292107481
raw,RingCount,0.4492963808962777,0.46607756973653464,-0.2919247188270762,-0.17683351521452223,0.46607756973653464
raw,AromaticRingCount,0.42370922486404683,0.13444078808246404,-0.10822582153406013,-0.25315558472088684,0.42370922486404683
raw,FractionCSP3,0.09990512662716247,0.07410937391313216,-0.14199843084488076,-0.4249870224362151,0.4249870224362151
raw,NumSpiroAtoms,-0.09737559222629442,0.03547546085080563,0.05285126153308222,0.022596551284040155,0.09737559222629442
raw,NumBridgeheadAtoms,-0.22490915301842487,0.04995436559535958,-0.0026903165736530225,-0.0339528209151522,0.22490915301842487
raw,BertzCT,0.6057270548449051,0.3205868709112898,-0.15949853644544948,-0.28161343417037765,0.6057270548449051
raw,QED,-0.29649298701601057,-0.1359311380540033,0.18622969162471653,0.6011413784660513,0.6011413784660513
