target_type,target,alpha,alpha_source,target_mean_train,target_std_train,n_train,n_val,n_test,r2_train,r2_val,r2_test,mae_train,mae_val,mae_test,w_norm,w_unit_norm
raw,MolWt,0.0001,step4_v2_val_tuned,325.8395278471186,96.23308501874502,635522,79440,79441,0.9508699697500022,0.9505423491428563,0.9502467397196873,16.238130348606695,16.283119312055653,16.289554989637065,1144.1427080139076,0.9999999999999999
raw,ExactMolWt,0.1,step4_v2_val_tuned,325.38803610769367,96.09115956178664,635522,79440,79441,0.9511257704769278,0.9507945769192451,0.9505179877597572,16.166678637170847,16.211623601297504,16.216907576016478,1139.0313086640522,0.9999999999999999
raw,HeavyAtomCount,0.03162277660168379,step4_v2_val_tuned,22.431856017572954,6.858249680432578,635522,79440,79441,0.9759682472755234,0.9758273703506052,0.9758669123763968,0.8321107015015178,0.8364066165830637,0.8314198395045407,60.597358762971766,1.0
raw,cLogP,3.1622776601683795,step4_v2_val_tuned,3.1656121865490117,1.5938662626457871,635522,79440,79441,0.7741189358571686,0.7718765637035383,0.7698921690372655,0.5814093404766614,0.5827213509172939,0.5824209933485114,28.019912086846716,0.9999999999999999
raw,TPSA,10.0,step4_v2_val_tuned,61.699809007398635,28.41529052646261,635522,79440,79441,0.7773609562726798,0.7770257062373472,0.7765019312020169,10.434829658820734,10.39314960831177,10.454635241295964,548.3092113772468,1.0
raw,HBD,31.622776601683793,step4_v2_val_tuned,1.0466765902675281,0.9698253862140948,635522,79440,79441,0.3527529231546841,0.34267606566064046,0.3517636175782157,0.6139277963204138,0.6158093457713588,0.6169348885644954,20.549279984988924,1.0
raw,HBA,0.0001,step4_v2_val_tuned,4.095634769528042,1.8444236958451132,635522,79440,79441,0.7978974290267525,0.7974868229571543,0.7998492999046788,0.6471167033328695,0.6494880151745637,0.6468465086748175,32.4755523577184,1.0
raw,NumRotatableBonds,0.03162277660168379,step4_v2_val_tuned,4.206337467467688,2.593650347571762,635522,79440,79441,0.5709471877427821,0.5685634922808822,0.5658928821008258,1.2967862497847484,1.306125421512035,1.3042653690523272,52.32198636131836,0.9999999999999999
raw,RingCount,10.0,step4_v2_val_tuned,2.6328183760751003,1.2778457913343326,635522,79440,79441,0.8929379440897544,0.8931696796730595,0.8917892531131884,0.31526444211754884,0.31463061707071066,0.3163631040540162,14.427351785407643,0.9999999999999999
raw,AromaticRingCount,0.31622776601683794,step4_v2_val_tuned,1.9457752839398164,1.1257674925906032,635522,79440,79441,0.8865392875346659,0.8855689907618126,0.8854647074249817,0.2905862773555318,0.29038506529450075,0.2911097714743948,14.288727992491099,1.0
raw,FractionCSP3,0.0001,step4_v2_val_tuned,0.35741553553143757,0.21774938638248215,635522,79440,79441,0.8583087772158204,0.8579800774547808,0.8586883139231699,0.06303658780251332,0.06304255112354755,0.06271847485761099,3.596099459266609,1.0
raw,NumSpiroAtoms,31.622776601683793,step4_v2_val_tuned,0.016424293730193447,0.12952855332779067,635522,79440,79441,0.0691446045019335,0.0684026804622817,0.06656583955317541,0.04192322998756562,0.04138244847804257,0.04142993759394189,1.1287037743087125,0.9999999999999999
raw,NumBridgeheadAtoms,100.0,step4_v2_val_tuned,0.043111017399869715,0.34902621491093533,635522,79440,79441,0.11187216546758572,0.10500503751703527,0.10695692265204693,0.12428750182644897,0.12319229290506797,0.12292819537944508,4.513305472820389,1.0
raw,BertzCT,0.31622776601683794,step4_v2_val_tuned,691.5794684500468,323.9056081558535,635522,79440,79441,0.9506068589984193,0.9503431922381779,0.9493829953936332,55.615675611805194,55.59678852208874,55.99085633253135,3085.0951494425694,1.0
raw,QED,1.0,step4_v2_val_tuned,0.6370611069310166,0.1669248007505012,635522,79440,79441,0.43043497206834913,0.4306227411076059,0.43084710868470055,0.10038637848370462,0.10034749150429734,0.10032370696645597,3.136055304277672,1.0
