base_property,direction_variant,decode_mode,seeds,target_spearman_median,target_slope_median,monotonic_violations_median,validity_fraction_mean,uniqueness_fraction_mean,path_unique_canonical_median,path_constant_fraction_mean,path_similarity_end_median,adjacent_tanimoto_median,confound_slope_median,selfies_len_slope_median,ring_token_slope_median,branch_token_slope_median,entropy_slope_median,heavy_atom_delta_median,carbon_delta_median,heteroatom_delta_median,ring_delta_median,aromatic_ring_delta_median,dp_no_worse_fraction
HeavyAtomCount,confound,fixed_length_seed_pred,4,0.9486832980505138,0.15597183546379031,0.0,1.0,0.15,2.5,0.0,0.3621766280107047,0.8389830508474576,0.15597183546379031,0.15597183546379031,0.04068830490359749,0.013562768301199166,0.010824183731311183,3.0,1.5,0.5,1.0,0.5,1.0
HeavyAtomCount,confound,free_length,4,0.840893107833722,1.3088071410657194,0.0,1.0,0.1625,3.0,0.0,0.3029661016949152,0.4669592413236481,1.3088071410657194,1.3088071410657194,0.18987875621678832,0.1559718354637904,0.005756348432134975,16.5,14.5,1.5,1.0,0.5,1.0
HeavyAtomCount,random,fixed_length_seed_pred,4,0.22360679774997894,0.05425107320479662,0.0,1.0,0.15,3.0,0.25,0.6447368421052632,0.6942424242424242,-0.01356276830119936,-0.01356276830119936,-0.04068830490359751,0.0,-0.008122265102096762,2.0,1.5,0.0,0.0,0.0,1.0
HeavyAtomCount,random,free_length,4,0.22360679774997894,0.05425107320479662,0.5,1.0,0.1375,3.0,0.25,0.6447368421052632,0.6735588972431078,-0.08137660980719516,-0.08137660980719516,-0.06781384150599584,0.0,-0.014275487848922732,2.0,1.5,0.0,0.0,0.0,1.0
HeavyAtomCount,raw,fixed_length_seed_pred,4,0.7071067811865475,0.027125536602398283,0.0,1.0,0.15,3.0,0.0,0.6414565826330532,0.8207282913165266,0.08137660980719483,0.08137660980719483,0.013562768301199155,0.02712553660239833,0.00999661795977503,1.0,1.0,0.5,0.5,1.0,1.0
HeavyAtomCount,raw,free_length,4,0.2676673838850559,0.2305670611203857,0.5,1.0,0.175,3.5,0.0,0.3666429587482219,0.32283369342192875,0.664575646758759,0.664575646758759,0.05425107320479665,0.04068830490359748,0.00696501546000497,9.0,8.5,0.5,1.5,1.0,1.0
HeavyAtomCount,residual,fixed_length_seed_pred,4,,9.52332417568024e-18,0.0,1.0,0.05,1.0,1.0,1.0,1.0,-1.7141983516224432e-16,-1.7141983516224432e-16,0.0,0.0,-9.52332417568024e-18,0.0,0.0,0.0,0.0,0.0,1.0
HeavyAtomCount,residual,free_length,4,,9.52332417568024e-18,0.0,1.0,0.05,1.0,1.0,1.0,1.0,-1.7141983516224432e-16,-1.7141983516224432e-16,0.0,0.0,-9.52332417568024e-18,0.0,0.0,0.0,0.0,0.0,1.0
TPSA,confound,fixed_length_seed_pred,4,0.7071067811865475,0.0,0.0,1.0,0.125,2.5,0.25,0.7954545454545454,0.875,0.0,0.027125536602398262,0.0,0.0,0.004313040500956263,0.0,0.0,0.0,0.0,0.0,1.0
TPSA,confound,free_length,4,0.5991431161154377,0.08137660980719498,0.0,0.95,0.184375,3.0,0.0,0.640625,0.615625,0.08137660980719498,0.420445817337174,0.0,0.08137660980719498,-0.007308437420627893,0.0,0.0,0.0,0.0,0.0,1.0
TPSA,random,fixed_length_seed_pred,4,-0.7071067811865475,-0.3995591541533276,0.0,1.0,0.1875,4.0,0.0,0.15474060822898034,0.3695698377355924,-0.020344152451798755,-0.027125536602398644,0.0,-0.020344152451798755,-0.012395956625061487,0.5,0.0,0.0,0.0,0.0,1.0
TPSA,random,free_length,4,-0.7071067811865475,-0.12518435142006834,0.0,1.0,0.17500000000000002,4.0,0.0,0.15474060822898034,0.5293524043524043,-0.020344152451798755,-0.1763159879155894,-0.03390692075299794,-0.020344152451798755,-0.014333862816662532,-3.0,-3.5,0.5,0.0,0.0,1.0
TPSA,raw,fixed_length_seed_pred,4,0.8944271909999157,0.0,0.0,1.0,0.1125,2.5,0.25,0.5355191256830601,0.9545454545454546,0.0,-5.713994505408144e-17,0.0,0.0,0.001353661466333539,-0.5,-1.0,0.0,0.0,0.0,1.0
TPSA,raw,free_length,4,0.09366020490668414,0.0,0.0,0.95,0.121875,2.5,0.25,0.7377049180327869,0.9344262295081968,0.0,-0.08137660980719506,0.0,0.0,-0.006827697769627271,0.0,0.0,0.0,0.0,0.0,1.0
TPSA,residual,fixed_length_seed_pred,4,0.4653567894682632,0.1222768563950651,0.0,1.0,0.1375,2.5,0.0,0.09462915601023017,0.9545454545454546,-1.904664835136048e-17,-0.013562768301199245,0.0,-1.904664835136048e-17,0.0011224744584670465,-0.5,-0.5,0.5,0.0,0.0,1.0
TPSA,residual,free_length,4,0.4653567894682632,0.43474831038444384,0.0,1.0,0.1375,2.5,0.0,0.09378881987577639,0.9545454545454546,-1.904664835136048e-17,-0.013562768301199245,0.0,-1.904664835136048e-17,-0.0034954510105436754,-0.5,-0.5,0.0,0.0,0.0,1.0
