target,selfies_len_tokens,ring_token_count,branch_token_count,token_entropy,max_abs_confound_cos
MolWt,0.7386638784574672,0.5568777187803914,0.2493143793836132,0.6479876640038204,0.7386638784574672
ExactMolWt,0.7420309831705278,0.5584154537456454,0.2528320570650593,0.6470987322254161,0.7420309831705278
HeavyAtomCount,0.9512617503378503,0.648628747358136,0.5328826852146445,0.4197119865269572,0.9512617503378503
cLogP,0.5571146958191381,0.389557964821275,0.3150682275574773,0.10114003226565173,0.5571146958191381
TPSA,0.33991485973364355,0.08048224711990538,0.2674858616574496,0.33581475696572594,0.33991485973364355
HBD,0.03590969224133457,-0.1513824391642926,0.2154445514358137,-0.09202557169162985,0.2154445514358137
HBA,0.436197520586439,0.306982361007796,0.11854638674166577,0.5563975639753236,0.5563975639753236
NumRotatableBonds,0.2364273604682729,-0.1646921178617221,0.29837339218811015,-0.47970674511232686,0.47970674511232686
RingCount,0.6315449315572071,0.8031301926460229,0.1377435635671216,0.6139568511072814,0.8031301926460229
AromaticRingCount,0.42171370179977813,0.3273081035966259,0.4266572194238335,0.05683227496466533,0.4266572194238335
FractionCSP3,-0.033718031328092916,0.06148186523722705,-0.24860247043310396,0.03234878074194147,0.24860247043310396
NumSpiroAtoms,0.2348041688941201,0.40645933945343515,-0.13454309536791728,0.48724132863920916,0.48724132863920916
NumBridgeheadAtoms,0.20465085047963472,0.41561944777638943,-0.13669433019832625,0.475772120120272,0.475772120120272
BertzCT,0.8796894283616855,0.7007570203991432,0.5311557847330745,0.5125367426127228,0.8796894283616855
QED,-0.27020842223725555,-0.00947560849094432,-0.34461744411058276,0.16831408041217835,0.34461744411058276
