variant,target_name,path,best_epoch,r2_val,r2_test
raw,BertzCT,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\BertzCT.pt,14,0.9756407141685486,0.9747129678726196
raw,HeavyAtomCount,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\HeavyAtomCount.pt,11,0.9907170534133911,0.9904438257217407
raw,MolWt,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\MolWt.pt,15,0.9797117710113525,0.9791799783706665
raw,NumRotatableBonds,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\NumRotatableBonds.pt,15,0.8242627382278442,0.821024477481842
raw,RingCount,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\RingCount.pt,14,0.9537147879600525,0.9530274868011475
raw,SA-score,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\SA-score.pt,13,0.7068629264831543,0.7110077142715454
residual,resid_BertzCT,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\resid_BertzCT.pt,14,0.8515942096710205,0.8513002991676331
residual,resid_HeavyAtomCount,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\resid_HeavyAtomCount.pt,14,0.8323366045951843,0.8298853635787964
residual,resid_MolWt,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\resid_MolWt.pt,15,0.8430078029632568,0.8343689441680908
residual,resid_NumRotatableBonds,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\resid_NumRotatableBonds.pt,14,0.6978558301925659,0.7008336782455444
residual,resid_RingCount,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\resid_RingCount.pt,14,0.8531572222709656,0.8546352386474609
residual,resid_SA-score,c:\Users\user\Documents\documents\project\Smiles latent project\artifacts\model_compare\nat_model_h256_l256\confounds_mlp_step3_missing_properties\mlp_models\resid_SA-score.pt,13,0.671358585357666,0.6712045073509216
