target,best_epoch,n_train,n_val,n_test,r2_train,r2_val,r2_test,ridge_r2_val,ridge_r2_test,delta_val_mlp_minus_ridge,delta_test_mlp_minus_ridge
HeavyAtomCount,55,635522,79440,79441,0.9969686269760132,0.9940145611763,0.9939194917678833,0.962423425094872,0.962209285640582,0.03159113608142805,0.031710206127301355
ExactMolWt,56,635522,79440,79441,0.9930420517921448,0.9848113059997559,0.9841137528419495,0.9190205987624512,0.9196501619435736,0.06579070723730462,0.06446359089837583
MolWt,56,635522,79440,79441,0.992936372756958,0.9844197034835815,0.9839383363723755,0.9184367382659908,0.9190326907426152,0.06598296521759073,0.06490564562976031
BertzCT,30,635522,79440,79441,0.9879081845283508,0.9774444103240967,0.9766327142715454,0.9307783487962754,0.9302699809772856,0.04666606152782127,0.04636273329425977
FractionCSP3,50,635522,79440,79441,0.9822662472724915,0.9661951661109924,0.9657875895500183,0.7843740595920572,0.7861914333218074,0.18182110651893524,0.1795961562282109
RingCount,32,635522,79440,79441,0.9794403314590454,0.9599746465682983,0.9592429399490356,0.850463625777548,0.8494791084665926,0.10951102079075037,0.10976383148244306
AromaticRingCount,20,635522,79440,79441,0.962135910987854,0.9374383091926575,0.9359553456306458,0.8501590287274953,0.8502890467578192,0.0872792804651622,0.08566629887282651
HBA,30,635522,79440,79441,0.9502862095832825,0.9109206199645996,0.9092774391174316,0.7578643554591155,0.760215419682126,0.15305626450548415,0.14906201943530561
TPSA,33,635522,79440,79441,0.9510148167610168,0.9071720838546753,0.9088622331619263,0.6980645055735839,0.7007661158922835,0.2091075782810914,0.20809611726964272
cLogP,24,635522,79440,79441,0.9401245713233948,0.896385133266449,0.8965210318565369,0.6836258500202589,0.682380601774581,0.2127592832461901,0.21414043008195582
NumRotatableBonds,20,635522,79440,79441,0.901648998260498,0.8324052095413208,0.8295073509216309,0.4879104266062501,0.4820895953033213,0.3444947829350707,0.34741775561830956
NumBridgeheadAtoms,29,635522,79440,79441,0.9712074398994446,0.6928771734237671,0.7072254419326782,0.0737562038483411,0.0816257799427324,0.619120969575426,0.6255996619899458
QED,18,635522,79440,79441,0.805348813533783,0.6990482211112976,0.693892240524292,0.3479931701041417,0.3455115087506688,0.3510550510071559,0.34838073177362316
HBD,16,635522,79440,79441,0.7832353115081787,0.6500265598297119,0.6550747156143188,0.2553600078854441,0.2627469640152209,0.3946665519442678,0.39232775159909794
NumSpiroAtoms,16,635522,79440,79441,0.9037817120552063,0.46762514114379883,0.463955819606781,0.0521619939216655,0.0512800513134243,0.41546314722213334,0.4126757682933567
